Rooms,Footage,Rent,address,title,description,street,city,canton
3.5,82,1770,"Pestalozzistrasse 69a, 3600 Thun, BE",«Willkommen im neuen Zuhause»,"An der Pestalozzistrasse 69a vermieten wir ab 16. August 2023 oder nach Vereinbarung eine tolle 3.5-Zimmerwohnung.Die Wohnung befindet sich im 1. OG (mit Lift und verfügt über folgende Ausstattungen:- grosser Balkon- Parkettboden in der ganzen Wohnung- grosszügiger Grundriss - sep. WC- ruhige Wohnlage mit freundlicher Umgebung- nächst Einkaufsmöglichkeiten und ÖV- auf Wunsch kann ein Einstellhallenplatz, Fr. 110.00/Monat dazu gemietet werdenÜberzeugen Sie sich selbst und vereinbaren Sie einen unverbindlichen Besichtigungstermin.Mit dem Auto gel",Pestalozzistrasse 69a,3600 Thun,BE
1.0,32,605,"Karl-Staufferstr. 7, 2502 Biel/Bienne, BE",«Wohnglück auf den ersten Blick.»,An der Karl-Staufferstrasse 7 in Biel vermieten wir per 1. Juli 2023 oder nach Vereinbarung eine sanierte 1-Zimmer Studiowohnungen (32 m2) mit Sitzplatz und direktem Gartenzugang. Die Lage ist zentral und trotzdem ruhig. Die Wohnung bieteet zudem folgende Vorzüge:- Wohn/Schlafzimmer Parkett- moderne und funktionale Küche- Bad mit begehbarer Dusche- grosszügiger Einbauschrank im Korridor- Sitzplatz mit Gartenzugang- Kellerabteil- Waschraum mit WM/TU- Lift- Öffentlicher Verkehr in unmittelbarer Nähe- keine Parkplätze im HausInteressiert?Alle verf,Karl-Staufferstr. 7,2502 Biel/Bienne,BE
3.5,81,1790,"Eichgutweg 29, 3053 Münchenbuchsee, BE",«3.5-ZW à 81 m2 im 1. OG mit eigener Waschküche»,"Wir vermieten per 1. Juli 2023 eine ruhige und helle 3.5-Zimmerwohnung à 81 m2 im 1. OG (ohne Lift), welche Ihnen nach einer Totalsanierung (2019) folgende Annehmlichkeiten bietet:- Topmoderne Küche mit viel Stauraum, Essplatz, Glaskeramikkochfeld, Combi-Steamer, Geschirrspüler, Kühlschrank mit 3 separaten Tiefkühlfächern, attraktiver Granitabdeckung und Tageslicht- Badezimmer mit anthrazitfarbenen Bodenplatten, helle Wandplatten - Gäste-WC - Heller Eichen-Parkett in sämtlichen Zimmern- Wohnungen neu mit Sicherheitstüren ausgestattet - Grosszüg",Eichgutweg 29,3053 Münchenbuchsee,BE
3.5,66,1500,"Zelgstrasse 31, 3027 Bern, BE",«Wunderschöne 3½-Zimmer-Wohnung in Bern-Bethlehem»,"Wir vermieten per 1. Juni 2023 eine traumhafte 3½-Zimmer-Wohnung an zentraler und dennoch ruhiger Lage nahe des Tscharnergut in Bern. Die Wohnung wurde im Jahr 2020 totalsaniert.Sowohl die Küchen, wie auch die Badezimmer wurden den aktuellen, modernen Bedürfnissen angepasst. Modern, praktisch und hell warten diese Räumlichkeiten auf einen neuen Mieter. Damit Sie sich auch wohl fühlen, wartet noch viel mehr auf Sie:Parkett- und Plattenböden Ganze Wohnung, 3-fach verglastKüche mit Geschirrspüler und GranitabdeckungWeiter verfügt die Wohnung über",Zelgstrasse 31,3027 Bern,BE
3.5,103,2060,"Dammstrasse 26, 3400 Burgdorf, BE",«Schöne Wohnung mit gemütlicher Loggia»,"Per 01.05.2023 vermieten wir diese schöne und moderne 3.5-Zimmerwohnung. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Wohn- und Schlafzimmer sowie Küche mit Parkettboden- Nasszelle mit pflegeleichtem, dunklem Plattenboden- Moderne, offene Küche mit Glaskeramikherd, Backofen auf Sichthöhe, Geschirrspüler und viel Stauraum für Ihre Küchenutensilien-Badezimmer mit WC, Lavabo, Spiegelschrank, Badewanne und eigenem Waschturm (Waschmaschine und Tumbler)- Grosszügige Loggia zum Verweilen- Eigenes Kellerabteil  Haustiere sind erlaubt. Bei Beda",Dammstrasse 26,3400 Burgdorf,BE
3.5,71,1580,"Bahnhofplatz 1a, 3110 Münsingen, BE",«Helle Wohnung im Zentrum Münsingen»,"Diese Wohnung könnte keinen besseren Standort haben. Sie brauchen nur die Strasse zu überqueren und schon sind Sie am Bahnhof mit direkten Verbindung nach Bern und Thun. Einkaufsmöglichkeiten befinden sich sogar im selben Haus oder in naher Gehdistanz. Die Vorzüge Ihrer Wohnung im Überblick: - Küche mit Geschirrspüler, Kühlschrankkombination mit Tiefkühlfach- Modernes Badezimmer mit Badewanne- Eigene Waschmaschine/Tumbler in der Wohnung in der Küche- Versiegelter Parkettboden in sämtlichen Räumen- Nasszelle mit Platten- Balkon/Sitzplatz- Garder",Bahnhofplatz 1a,3110 Münsingen,BE
2.0,47,790,"Römerstrasse 3, 2555 Brügg BE, BE","«2-Zimmerwohnung, 3. Stock»",Sonnige und zentrale Lage - Einkaufsmöglichkeiten und öV in der Nähe - LiftHelle Wohnung - Küche mit Geschirrspüler - Platten- und Laminatböden - Lift - Kellerabteil - kein Balkon - Parkplatz kann dazu gemietet werden,Römerstrasse 3,2555 Brügg BE,BE
4.5,112,2190,"Sonnhalde 8, 3250 Lyss, BE",«Helle 4.5-Zi.-Wohnung an bester Lage»,"Sie suchen eine lichdurchflutete Mietwohnung an idealer Lage? Dann bin ich das was Sie suchen?Ich bin ab sofort oder nach Vereinbarung bezugsbereit. Ich befinde mich in einem ruhigen und bevorzugten Quartier nahe dem Waldrand. Zu Fuss sind es nur wenige Minuten bis zum Bahnhof, zu diversen Einkaufsmöglichkeiten und dem Zentrum von Lyss. Mit dem Auto sind Sie in 20 Minuten in Biel, in 30 Minuten in Bern und Solothurn.Die Schulkinder besuchen die Schule vom Kindergarten bis in die 9 Klasse (11h) im Schulhaus Grentschel (Tagesstruktur vorhanden).",Sonnhalde 8,3250 Lyss,BE
3.5,83,1520,"Neuengasse 7, 3177 Laupen BE, BE",«Zentrales Wohnen in Laupen!»,"Im Zentrum von Laupen vermieten wir per sofort oder nach Vereinbarung eine charmante 3½-Zimmer-Wohnung. Die attraktive Wohnung bietet Ihnen folgende Vorteile:Moderne, offene Küche mit grossem Kühlschrank, Glaskeramikherd und GeschirrspülerLaminat in der ganzen WohnungBadezimmer mit Platten und BadewanneTerrasse zur Mitbenutzung und zum gemütlichen VerweilenGenügend Stauraum im eigenen KellerabteilBalkonLaupen ist mitten im Naherholungsgebiet Saane/Sense und ideal für Bade-, Wander- und Fahrradbegeisterte. Die Einkaufsmöglichkeiten, Schulen und",Neuengasse 7,3177 Laupen BE,BE
2.0,44,1280,"Strättlighügel 23, 3645 Gwatt (Thun), BE",«2-Zimmerwohnung an unüberbaubarer Lage im Strättlighügel in Gwatt!»,"Sie suchen Ihren Wohntraum im Herzen eines wunderschönen Naherholungsgebietes? Dann sichern Sie sich jetzt diese helle und charmante 2-Zimmerwohnung an einer einmaligen Lage und mit einer schönen Aussicht.Eingang, Wohnzimmer und Schlafzimmer mit ParkettbodenBad und Küche mit KeramikplattenbodenBadezimmer mit WCKüche mit Keramikkochfeld, Backofen und GeschirrspülerEigener Balkon mit Zugang auf den RasenKellerabteilGartengrill und allgemeiner Sitzplatz WestseiteRuhige Lage, an Landwirtschaftszone grenzendAnstrich auf Wunsch auch in weiss möglichG",Strättlighügel 23,3645 Gwatt (Thun),BE
4.5,113,2190,"Könizstrasse 259, 3097 Liebefeld, BE",«GROSSZÜGIGE 4.5-ZIMMER-WOHNUNG - SANIERT!»,"Per 1. Juli 2023 oder nach Vereinbarung vermieten wir diese sanierte 4.5-Zimmer-Wohnung im Hochparterre.Die Liegenschaft befindet sich an zentraler Lage nahe diversen Einkaufsmöglichkeiten und öffentlichen Verkehrsmittel.Die charmante, lichtdurchflutete Wohnung bietet Ihnen auf 113 m2 folgende Vorzüge:sanierte abschliessbare Küchemit Glaskeramikherd und GeschirrspülerSchlaf- und Wohnzimmer mit ParkettbodenBadezimmer mit Badewannesep. Dusche mit WCzwei Balkone für gemütliche StundenWandschränkeLiftBei Bedarf kann ein Einstellplatz für CHF 105.00",Könizstrasse 259,3097 Liebefeld,BE
3.5,91,1560,"Brüggstrasse 1, 2503 Biel/Bienne, BE",«Ihr neues Zuhause im Herzen von Biel»,"Diese helle Wohnung bietet Ihnen nebst ihrer zentralen Lage, dem grosszügigen Grundriss sowie der lichtdurchfluteten Räume folgenden Wohnkomfort:- Parkettboden in allen Zimmern sowie Korridor- Küche mit PVC-Boden- Badezimmer mit Plattenboden- Küche mit Glaskeramikkochfeld, Geschirrspülmaschine sowie sep. Tiefkühlfächer- Badezimmer mit Badewanne und Dusche- Einbauschränke vorhanden- Balkon mit Verglasung - Keller und Estrich inklusive- LiftEin Einstellplatz kann bei Bedarf für CHF 100.- pro Monat dazu gemietet werden.Die Liegenschaft befindet si",Brüggstrasse 1,2503 Biel/Bienne,BE
5.5,162,3860,"Schönburgstrasse 19, 3013 Bern, BE",«Totalsanierte 5.5-Zimmer-Wohnung»,"Wir vermieten per sofort oder nach Vereinbarung eine grosszügige und totalsanierte 5.5 Zimmerwohnung à 162m2 in Bern. Die Wohnung bietet Ihnen die folgenden Vorzüge:- Offene Küche mit Kochinsel und viel Stauraum, weisse Fronten, Bora Pura Kochfeld mit integriertem Dampfabzug, Kühlschrank mit 3 sep. Gefrierschubladen, Einbaubackofen und Geschirrspüler- Nasszellen mit hellbraunen Keramikplatten, Badewanne und Doppellavabo, Sep. WC inkl. Dusche - Eleganter Eichenparkett in Korridor, Wohn- und Schlafzimmern- Korridor mit zahlreichen Einbauschränken",Schönburgstrasse 19,3013 Bern,BE
2.0,56,1300,"Könizstrasse 42, 3008 Bern, BE",«Wohnen im beliebten Fischermätteli-Quartier»,"Wir vermieten diese attraktive 2-Zimmerwohnung an toller Lage im Fischermätteli-Quartier, welche Ihnen folgenden Ausbaustandard bietet:- Parkettboden im Wohn- und Schlafzimmer- Plattenboden in Küche und Badezimmer - moderne Küche mit Glaskeramikkochfeld - Badezimmer mit Badewanne und Fenster- praktische Einbauschränke- Balkon- Keller- und Estrichabteil inklusiveZahlreiche Einkaufsmöglichkeiten, Restaurants sowie Cafés befinden sich in unmittelbarer Nähe. Tram- und Bushaltestellen finden Sie gleich um die Ecke.Haben wir Ihr Interesse geweckt? Da",Könizstrasse 42,3008 Bern,BE
4.5,139,3180,"Schlossstrasse 32, 3067 Boll, BE",«Architekturkunst von Atelier 5 mit fantastischer Aussicht»,"Das gegen Süden ausgerichtete 4½-Zimmer-Haus auf drei Etagen plus Kellerraum (auf separater Ebene) offenbart eine grossartige, unverbaubare Aussicht über die Baumriesen des Schlossparks hinweg bis zu den Alpen. Insgesamt 113 m² Aussenflächen bieten lauschige Sitzplätze, ein mediterranes Ambiente und vielfältige Nutzungsmöglichkeiten zu jeder Jahreszeit.Funktionalität, Ästhetik und Einbezug des Aussenraumes sind bis ins letzte Detail durchdacht. In den Räumen sind Fenster und Türen so platziert, dass der Aussenraum perfekt einbezogen wird. Die t",Schlossstrasse 32,3067 Boll,BE
4.5,81,1890,"Robinsonweg 40, 3006 Bern, BE",«Schön Wohnen in der Äusseren Schosshalde»,"Die Liegenschaft mit Süd/West-Orientierung wurde im 2018 komplett saniert und liegt in der Äusseren Schosshalde, nähe Rudolf Steiner Schule. Das kinderfreundliche Quartier neben dem Schosshaldenwald verfügt über einen grossen Spielplatz mit viel Grünfläche. In unmittelbarer Nähe befindet sich die Bushaltestelle Tiefenmösli der Linie 28, mit welcher Sie in ca. 4 Minuten am Bahnhof Ostermundigen sind.Die Wohnung verfügt über folgendes:- Sonniger Balkon- Küche mit Glaskeramik, Geschirrspüler, Granitabdeckung + Bar- Heller Ess-/Wohnbereich- Bad mit",Robinsonweg 40,3006 Bern,BE
4.5,98,1805,"Scheurenweg 38, 2504 Biel/Bienne, BE",«Komplett sanierte Wohnung nähe Wald und Schulen»,"Am Scheurenweg 38 an der Stadtgrenze in Biel-Mett, vermieten wir eine komplett sanierte, helle und geräumige  4,5-Zimmerwohnung im 2. OG   mit:Neuer grosser Wohnküche mit InduktionskochfeldWohnzimmer mit ParkettbodenCheminéeSehr grosser Balkon mit Steckdose und LichtSchlaf- und 2 Kinderzimmer mit ParkettbodenNeues Badezimmer mit Badewanne und WCNeues Badezimmer mit Dusche und WCGlasfaseranschlussKellerabteilEinstellhallenplatz (im Nachbarhaus) für CHF 120.00Kein LiftHaben wir Ihr Interesse geweckt? Gerne zeigen wir Ihnen diese schöne Wohnung.",Scheurenweg 38,2504 Biel/Bienne,BE
2.0,47,1110,"Schwäbisstrasse 19, 3613 Steffisburg, BE",«Im beliebten Schwäbis-Quartier!»,"Im beliebten Quartier 'Schwäbis' vermieten wir an zentraler Wohnlage nähe Aare und Flussbad eine helle Wohnung mit folgenden Vorzügen:- Parkett im Wohnzimmer und den Schlafzimmern- Moderne Küche mit Glaskeramik und Geschirrspüler- Bad mit Badewanne- Einbauschränke- Balkon- In 10 Minuten zu Fuss mitten im Stadt Zentrum ""Bälliz""- Bushaltestelle in unmittelbare NäheBewerben Sie sich jetzt Online bei uns unter: www.mywincasa.ch/bewerben. Ihr Bewerbungscode: 10264.11.0101Bei den Fotos handelt es sich um ein typähnliches Objekt.Bei Bedarf kann ein Ei",Schwäbisstrasse 19,3613 Steffisburg,BE
2.5,44,1050,"Bernstrasse 143, 3400 Burgdorf, BE",«Wohnen im Grünen - Naherholungsgebiet der Rothöhe»,"Eine wunderschöne und helle Wohnung sucht eine neue Nachmieterin, einen neuen Nachmieter:- Wohnbereich mit Parkettboden- Nasszellen mit Plattenboden- Einbauschränke vorhanden- moderne Küche- mit Granitabdeckung, Glaskeramik, Geschirrspüler, Tiefkühlfächer- Badezimmer mit Badewanne- Balkon- Keller- LiftEin Einstellplatz kann bei Bedarf für CHF 130.00/Monat dazu gemietet werden.Für den täglichen Bedarf wissen Sie die in wenigen Minuten erreichbare Shoppingmeile Lyssach-Alchenflüh zu schätzen. Die Buslinie 462 bringt Sie im 30-Minuten-Takt ins Zen",Bernstrasse 143,3400 Burgdorf,BE
3.5,84,1575,"Oberer Eichenweg 12, 4537 Wiedlisbach, BE",«TOP frisch sanierte 3.5- ZWG»,"Am Jurasüdfuss im historischen Städtchen Wiedlisbach vermieten wir eine schöne und helle Wohnung in familienfreundlicher Umgebung, an günstiger Verkehrslage Nähe Autobahnanschluss A1. Der Ausbau ist wie folgt:Moderne Küche mit Glaskeramik, Backofen, Dampfabzug, freistehender Retro Kühlschrank,  Geschirrspüler, Küchenabdeckung GranitGrosszügiger EingangsbereichGrosses helles Wohnzimmer2 SchlafzimmerNasszelle mit Fenster - DuschwanneBodenbeläge Keramik / ParkettBalkonKellerabteilEigener Waschturm (Waschmaschine + Trockner)NEU mit AufzugParkmöglic",Oberer Eichenweg 12,4537 Wiedlisbach,BE
4.5,128,3414,"Optingenstrasse 33, 3013 Bern, BE",«Traumhaft Wohnen im Herzen von Bern!»,Haben wir Ihr Interesse geweckt? Über die Onlinekontaktanfrage-Funktion erhalten Sie Auskunft zu den Besichtigungsmöglichkeiten.Die Liegenschaft befindet sich wenige Gehminuten vom Stadtzentrum entfernt. Die Station Viktoriaplatz von der Tramlinie Nr. 9 und von der Buslinie Nr. 10 ist unmittelbar in der Nähe. Ein Personenaufzug vorhanden.- moderne Wohnküche- Bad mit Badewanne und Duschkabine- separate Toilette- grosszügige Zimmer mit viel Altbau-Charme- Bodenplatten in Küche und Nasszellen- Parkettböden in sämtlichen Zimmern- Einbauschränke für,Optingenstrasse 33,3013 Bern,BE
4.5,91,1995,"Dammstrasse 28, 3400 Burgdorf, BE",«Wohnkomfort für Geniesser»,"Per 01.05.2023 vermieten wir diese schöne und moderne 4.5-Zimmerwohnung.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:- Wohn- und Schlafzimmer mit Parkettboden- Küche und Nasszelle mit pflegeleichtem, dunklen Plattenboden- Moderne, offene Küche mit Glaskeramikherd, Backofen, Geschirrspüler und viel Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank, Badewanne und eigenem Waschturm (Waschmaschine und Tumbler)- Praktische Einbauschränke neben dem Eingang, welche für zusätzlichen Stauraum sorgen- Gemütliche Terrasse",Dammstrasse 28,3400 Burgdorf,BE
4.5,101,1750,"Unterfeldweg 10, 3373 Heimenhausen, BE",«Moderne 4.5-Zimmerwohnung»,"Die Mehrfamilienhäuser Flurmatt sind in modernem Hightech-Holzbau gefertigt. Dies schafft ein behaglichesRaumklima. Holzbau ist ein nachwachsender Baustoff, dazu sorgt die hocheffiziente Isolation für tiefe Heizkosten.Die grosszügige Wohnung ist mit einem dunklen Parkettboden versehen. Grosser Wohn- und Essbereich mit moderner Küche. Die Küche ist mit einer Kochinsel, einem Geschirrspüler sowie einem Glaskeramikkochfeld ausgestattet. Zudem verfügt die Wohnung über zweiBadezimmer, eines mit Badewanne und WC und eines mit Dusche, WC und Waschturm",Unterfeldweg 10,3373 Heimenhausen,BE
4.5,135,2385,"Talackerstrasse 55 C, 3604 Thun, BE","«Lichtdurchflutete, moderne Wohnung mit Gartensitzplatz»","An ruhiger Wohnlage vermieten wir diese schöne Wohnung, welche Ihnen folgenden Ausbaustandard bietet:- Küche mit Granitabdeckung, Geschirrspülmaschine, Glaskeramikherd sowie Tiefkühler- Plattenboden in Wohnbereich, Küche und Bad- Parkettboden in allen Zimmern- Badezimmer mit Badewanne - separate Dusche mit WC- eigener Waschturm mit Waschmaschine und Tumbler- praktische Einbauschränke- grosszügiger und sonniger Sitzplatz- KellerEin Einstellplatz kann bei Bedarf für CHF 150.- pro Monat dazu gemietet werden.Haben wir Ihr Interesse geweckt? Dann fü",Talackerstrasse 55 C,3604 Thun,BE
4.0,85,1380,"Quellmattstrasse 11, 2563 Ipsach, BE","«Moderne, attraktive Wohnung nah beim See!»","Wir vermieten diese schöne, helle und grosszügige Wohnung, welche Ihnen folgenden Ausbaustandard bietet:- Parkettboden Wohn-/Eszimmer- Laminatboden in den Schlafzimmern- Plattenboden in der Küche, Badezimmer, sep. WC und Korridor- Badezimmer mit Badewanne- separates WC- Einbauschränke - Balkon- Keller- und EstrichabteilEin Einstellplatz/Abstellplatz kann bei Bedarf für CHF 110.00 / 50.00 pro Monat dazu gemietet werden.Die Liegenschaft befindet sich an leicht erhöhter Lage. Innert wenigen Gehminunten erreichen Sie den BTI-Bahnhof sowie die Migro",Quellmattstrasse 11,2563 Ipsach,BE
3.0,80,2280,"Humboldtstrasse 6, 3013 Bern, BE","«Einmalige, moderne Wohnung mit Mansarde»",,Humboldtstrasse 6,3013 Bern,BE
2.5,65,1450,"Typonweg 9 a, 3400 Burgdorf, BE",«Gestalten Sie Ihre eigenen vier Wände»,"Per sofort oder nach Vereinbarung vermieten wir diese schöne 2.5-Zimmerwohnung in Burgdorf.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:- Wohn- und Schlafzimmer mit Parkettboden- Küche und Badezimmer mit dunklem, pflegeleichtem Plattenboden- Grosses Wohnzimmer mit viel Tageslicht- Helles und geräumiges Schlafzimmer- Offene moderne Küche mit Glaskeramikherd, Geschirrspüler, Backofen und ausreichend Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Badewanne- Grosser Balkon für gemütliche Sonnenstunden- Wasch",Typonweg 9 a,3400 Burgdorf,BE
2.5,116,2040,"Collegegasse 8, 2502 Biel/Bienne, BE",«Wohnglück auf den ersten Blick»,"Per 01.12.2022 vermieten wir diese schöne und moderne 2.5-Zimmerwohnung. Die Wohnung bietet Ihnen folgende Annehmlichkeiten: - Wohn- und Schlafzimmer sowie Küche mit Parkettboden- Nasszelle mit pflegeleichtem, dunklen Plattenboden- Moderne, offene Küche mit Glaskeramikherd, Backofen, Geschirrspüler und viel Stauraum für Ihre Küchenutensilien- Badezimmer mit WC, Lavabo, Spiegelschrank und Badewanne- Sonniger Balkon zum Verweilen- Eigenes Kellerabteil im Untergeschoss- Waschküche und Trockenraum zur Mitbenutzung- Lift vorhanden Die Haustierhaltun",Collegegasse 8,2502 Biel/Bienne,BE
1.0,24,820,"Fabrikstrasse 29 C, 3012 Bern, BE",«Helle 1-Zimmer-Wohnung im Länggassquartier»,"Die 2013 neu sanierte Liegenschaft befindet sich an ruhiger Lage in der hinteren Länggasse, die Busstation ""Länggasse"", sowie diverse Einkaufsmöglichkeiten sind in wenigen Minuten zu Fuss erreichbar. Die Autobahnausfahrt ""Bern-Forsthaus"" bietet ideale Anschlussmöglichkeiten. Lift und Einstellhalle sind vorhanden, die Waschküche wird in der Gemeinschaft genutzt.Die 1-Zimmer-Wohnung verfügt über:- moderne Küche mit Geschirrspüler und Granitabdeckung- Badezimmer mit Wanne/WC- Parkett- und Plattenböden- Einbauschrank- Balkon- KellerabteilBei den pu",Fabrikstrasse 29 C,3012 Bern,BE
5.0,104,2090,"Friedeggstrasse 5, 3400 Burgdorf, BE",«5-Zimmerwohnung mit Flair im Herzen von Burgdorf»,Die Wohnung punktet mit folgenden Vorzügen:- Energetisch saniert und neu isoliert- sehr zentrale Lage- grosse Küche mit Platz für Esstisch- Parkett- und Plattenböden- Cheminée im Wohnzimmer- Bad/WC und separates WC- gedeckter Balkon- viele Einbauschränke- Estrich- und Kellerabteil- Bahnhof und Bushaltestelle unmittelbar in der NäheHaben wir Ihr Interesse geweckt? Dann zögern Sie nicht uns für einen Besichtigungstermin zu kontaktieren!,Friedeggstrasse 5,3400 Burgdorf,BE
2.5,60,1270,"Bürglenweg 1, 3510 Konolfingen, BE",«geräumige 2 1/2-Zimmerwohnung im 2. Stock mitte»,"Die Liegenschaft befindet sich an sonniger Wohnlage in der Nähe des Zentrums von Konolfingen. Eine Bushaltestelle befindet sich 5 Gehminuten von der Liegenschaft entfernt. Auch der Bahnhof ist in 13 Minuten zu Fuss erreichbar. Ob mit dem Auto oder der Bahn erreichen Sie sowohl Thun als auch Bern in rund 25 Fahrminuten.Wir suchen per 1. Juli 2023 oder nach Vereinbarung eine/n NachmieterIn diese 2.5-Zimmerwohnung mit folgenden Vorteilen: - die offen zum Wohnraum gerichtete Küche verfügt über schöne graue Fronten, eine Granitabdeckung, einen hochg",Bürglenweg 1,3510 Konolfingen,BE
3.5,97,1860,"Scheurenweg 49, 2500 Biel/Bienne, BE",«Grosszügige 3.5-Zimmerwohnung an ruhiger Wohnlage»,"In einer gepflegten Minergie-Liegenschaft an ruhiger Wohnlage vermieten wir diese grosszügige und helle 3.5-Zimmerwohnung:per 01.07.2023 oder nach AbspracheWohnung mit 97 m2 und Balkon mit 15 m2Küche mit Glaskeramikherd, Geschirrspüler, TiefkühlerMinergie-Bauweise mit kontrollierter WohnraumlüftungBadezimmer/WC & separate Dusche/WCEinbaugarderobehelle ParkettbödenEinstellhallenplätze (CHF 130.-/Monat) vorhandenHaben wir Ihr Interesse geweckt? Gerne stehen wir für weitere Informationen und die Vereinbarung eines unverbindlichen Besichtigungsterm",Scheurenweg 49,2500 Biel/Bienne,BE
3.5,102,2350,"Sonnhalde 35, 4537 Wiedlisbach, BE",«3.5-Zimmer Attikawohnung - fast wie im Eigenheim»,"Ob im Sommer auf der grossen Terrasse oder im Winter gemütlich vor dem Cheminée - Sie werden sich wohl fühlenAb sofort vermieten wir im oberaargauischen Wiedlisbach eine moderne, helle 3½-Zimmer-Attikawohnung.Das belebte Städtchen Wiedlisbach gehört zu den Juwelen des Oberaargaus und besticht mit seinem historischen Ortskern. Es bietet alles für den täglichen Bedarf. Was Wiedlisbach selber nicht hat, findet man in der nahen Umgebung.Die Liegenschaft ist gut angebunden und wurde wie ein ruhender Pol wunderbar in die sanfte Landschaft am Fusse de",Sonnhalde 35,4537 Wiedlisbach,BE
4.5,102,1920,"Oberburgstr. 106, 3400 Burgdorf, BE",«Wohnen am Südrand von Burgdorf»,"Wir vermieten per 01.05.2023 oder nach Vereinbarung eine grosszügige 4.5-Zimmerwohnung.Geniessen Sie in Ihrer neuen Wohnung den Ausblick auf den Grünraum und die Rothöhe. Ausserdem bietet die Wohnung folgende Vorzüge:Helle RäumeParkett- und PlattenbodenKüche mit GranitabdeckungMinergiestandardEinbaugarderobeGrosszügiger Balkon auf Vor- und RückseiteReduit in der Wohnung und ein KellerabteilPro 4 Wohnungen eine Waschküche mit Waschmaschine und SecomatEinstellhallenplätze können dazu gemietet werden.* Die Fotos sind typähnlich, entsprechen jedoch",Oberburgstr. 106,3400 Burgdorf,BE
4.5,99,1760,"Pintelgasse 3, 3752 Wimmis, BE",«Moderne 4.5-ZW im 1. OG (ohne Lift) à 99 m2»,"Wir vermieten per 01.07.2022 eine topmoderne und helle 4.5-Zimmerwohnung im 1. OG (ohne Lift) à 99 m2, welche im Jahr 2018 totalsaniert wurde. Hervorzuheben ist die absolut familienfreundliche und strassenabgewandte Lage mit viel Grünfläche, Spielplatz sowie Schulen in der Nähe. Zudem erwarten Sie folgende Annehmlichkeiten:- Topmoderne Küche mit Glaskeramikkochfeld, Combi-Steamer, Geschirrspüler, Kühlschrank mit 3 separaten Tiefkühlfächern, attraktiver Granitabdeckung, Tageslicht- Badezimmer mit ansprechenden Anthrazitfarbenen-Bodenplatten, hel",Pintelgasse 3,3752 Wimmis,BE
4.5,76,1655,"Eisselweg 19, 3123 Belp, BE",«4.5-Zimmerwohnung mit Alpensicht»,"An sonniger, ländlicher und trotzdem zentraler Lage vermieten wir diese4.5-Zimmerwohnung im 1. OG rechtsper 01.05.2023 oder nach Vereinbarung. Die Wohnung wurde im Jahr 2021 neu saniert.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:grosszügiges, helles Wohnzimmerneue, komfortable Küche mit Granitstein, GeschirrspülerKüche mit Essplatzneues, helles Badezimmer mit schönen Keramikplatteneigene Waschmaschine und Tumbler in der WohnungEinbauschränke, ReduitKeller und Estrich inklusiveEinzelgaragen oder Aussenparkplätze können dazu gemietet werd",Eisselweg 19,3123 Belp,BE
5.5,111,2267,"Gaselstrasse 21, 3098 Schliern b. Köniz, BE",«Grosse sonnige Wohnung an kinderfreundlicher Lage»,"Wir können Ihnen eine ausgezeichnete Wohnqualität mit folgendem Ausbaustandard bieten:- moderne Küche mit Schiebetüre, Glaskeramikkochherd, grosser Kühlschank, Tiefkühler mit drei Schubladen, Granitabdeckung, Geschirrspüler, dunkelgrauer Plattenboden- Badezimmer mit WC und Badewanne und ein sep. WC mit dunkelgrauen Plattenböden- alle Zimmer mit Parkettbodenbelag- Einbauschränke und Garderobe im Korridor- Reduit mit PVC-Bodenbelag- grosszügigerBalkon mit Abendsonne- kontrollierte Lüftungsanlage (Minergie)Bei den Bildern handelt es sich um Beispi",Gaselstrasse 21,3098 Schliern b. Köniz,BE
3.5,71,1320,"Friedaustrasse 1, 4923 Wynau, BE",««EIN BIJOU IM RENOVATIONSPROZESS»»,"Sie sind auf der Suche nach einer wunderschönen, nah an der Natur gelegenen und lichtdurchfluteten 3.5-Zimmer-Wohnung in Wynau? Dann sind Sie hier richtig! Die Wohnung ist momentan im Sanierungsprozess und befindet sich im 2. OG in einem familienfreundlichen, ruhigen Quartier ohne Durchgangsverkehr und bietet Ihnen einen grossen Wohn- und Essbereich, eine neue und moderne, geräumige Küche mit Granitabdeckung, sowie zwei Nasszellen mit neuen Fliesen und mit jeweils einer Dusche und einer Badewanne. Des Weiteren verfügt die Wohnung über eine Bode",Friedaustrasse 1,4923 Wynau,BE
